test,impl,mean_ns,median_ns,stddev_ns
sort_by_name,db,143367848,122148400,66309430
sort_by_name,memory,87588925,72977500,45748452
sort_users_by_name_asc,db,100,11573815,7911000
sort_users_by_name_asc,memory,100,14440709,6444499
sort_users_by_name_desc,db,100,31808431,11686800
sort_users_by_name_desc,memory,100,11737990,5682699
sort_users_by_id_asc,db,100,8136226,5486100
sort_users_by_id_asc,memory,100,6610247,4424900
sort_functions_by_name_asc,db,100,145260191,130819501
sort_functions_by_name_asc,memory,100,91524858,76858200
sort_functions_by_user_id_asc,db,100,99321388,81871101
sort_functions_by_user_id_asc,memory,100,83800357,66650999
sort_points_by_x_asc,db,100,160407950,148511400
sort_points_by_x_asc,memory,100,169767178,136359000
sort_points_by_function_id_asc,db,100,167582309,150101600
sort_points_by_function_id_asc,memory,100,155077349,140024700
sort_users_by_name_asc,db,100,866557,744623
sort_users_by_name_asc,memory,100,427854,401047
sort_users_by_name_desc,db,100,547036,463693
sort_users_by_name_desc,memory,100,358591,327408
sort_users_by_id_asc,db,100,471240,434804
sort_users_by_id_asc,memory,100,294259,230835
sort_functions_by_name_asc,db,100,15996652,15003351
sort_functions_by_name_asc,memory,100,14755061,14472745
sort_functions_by_user_id_asc,db,100,13696476,13545785
sort_functions_by_user_id_asc,memory,100,14809179,15021460
sort_points_by_x_asc,db,100,24969164,24571844
sort_points_by_x_asc,memory,100,25171221,24598773
sort_points_by_function_id_asc,db,100,24744237,24460441
sort_points_by_function_id_asc,memory,100,26911299,25349382
sort_users_by_name_asc,db,100,726529,591095
sort_users_by_name_asc,memory,100,419565,326356
sort_users_by_name_desc,db,100,716244,599020
sort_users_by_name_desc,memory,100,443228,380046
sort_users_by_id_asc,db,100,508488,409792
sort_users_by_id_asc,memory,100,392283,308539
sort_functions_by_name_asc,db,100,15981887,14903903
sort_functions_by_name_asc,memory,100,17262717,17065895
sort_functions_by_user_id_asc,db,100,16634831,16669484
sort_functions_by_user_id_asc,memory,100,16198988,15980602
sort_points_by_x_asc,db,100,26768525,26784831
sort_points_by_x_asc,memory,100,28192958,28292519
sort_points_by_function_id_asc,db,100,30376223,28564461
sort_points_by_function_id_asc,memory,100,28913583,28699371
sort_users_by_name_asc,db,100,3502276,3342193
sort_users_by_name_asc,memory,100,2304910,2144403
sort_users_by_name_desc,db,100,1873189,1807224
sort_users_by_name_desc,memory,100,1511522,1409168
sort_users_by_id_asc,db,100,1348581,1295776
sort_users_by_id_asc,memory,100,515444,429281
sort_functions_by_name_asc,db,100,21059464,18956654
sort_functions_by_name_asc,memory,100,17375420,16713422
sort_functions_by_user_id_asc,db,100,16203223,15899114
sort_functions_by_user_id_asc,memory,100,16522862,16158535
sort_points_by_x_asc,db,100,29440557,27992998
sort_points_by_x_asc,memory,100,27424567,27577597
sort_points_by_function_id_asc,db,100,27141043,27386153
sort_points_by_function_id_asc,memory,100,28800048,28831070
